Symbol,Nazwa
01C,01CYBATON
06N,06MAGNA
08N,08OCTAVA
11B,11BIT
1AT,ATAL
2CP,2CPARTNER
4FM,4FUNMEDIA
4MB,4MOBILITY
4MS,4MASS
7FT,7FIT
7LV,7LEVELS
AAS,AALLIANCE
AAT,ALTA
ABE,ABPL
ABK,ABAK
ABS,ASSECOBS
ACA,ACARTUS
ACG,ACAUTOGAZ
ACK,ACKERMAN
ACP,ASSECOPOL
ACR,ACREBIT
ACT,ACTION
ADV,ADIUVO
ADX,ADATEX
AER,AERFINANC
AFC,AKCEPTFIN
AFH,AFHOL
AGL,AGROLIGA
AGO,AGORA
AGP,AGROMEP
AGT,AGROTON
AIN,ABSINVEST
AIT,AITON
ALD,ALDA
ALE,ALLEGRO
ALG,AIGAMES
ALI,ALTUSTFI
ALL,AILLERON
ALR,ALIOR
ALS,ALEJA
ALU,ALUMAST
AMB,AMBRA
AMC,AMICA
AML,ALUMETAL
AOL,ANALIZY
APA,APANET
APC,APOLLO
APE,APSENERGY
APL,AMPLI
APN,APLISENS
APR,AUTOPARTN
APS,APS
APT,APATOR
AQA,AQUAPOZ
AQT,AQUATECH
AQU,AQUABB
ARA,ARAMUS
ARE,ARENAPL
ARG,ARTGAMES
ARH,ARCHICOM
ARI,ARI
ARR,ARTERIA
ART,ARTIFEX
ARX,ARRINERA
ASA,APIS
ASB,ASBIS
ASE,ASSECOSEE
ASM,ASMGROUP
ASP,AUTOSPA
ASR,ASTRO
AST,ASTARTA
ATA,ATCCARGO
ATC,ARCTIC
ATD,ATENDE
ATG,ATMGRUPA
ATL,ATLASEST
ATO,ATONHT
ATP,ATLANTAPL
ATR,ATREM
ATS,ATLANTIS
ATT,GRUPAAZOTY
AUG,AUGA
AUX,AUXILIA
AVE,ADVERTIGO
AVT,AVATRIX
AWB,AWBUD
AWM,AIRWAY
AZC,AZTEC
B24,BRAND24
BAH,BAHOLDING
BBA,BBINWEST
BBD,BBIDEV
BBT,BOOMBIT
BCI,BALTICINV
BCM,BETACOM
BDG,BROADGATE
BDX,BUDIMEX
BDZ,BEDZIN
BEP,BIOMASS
BER,BIOERG
