Symbol,Nazwa
KCH,KRAKCHEM
KCI,KCI
KDM,KDMSHIPNG
KER,KERNEL
KFM,KOFAMA
KGH,KGHM
KGL,KGL
KGN,KOGENERA
KIN,KLEBAINV
KKH,KKHERBAL
KLN,KLON
KME,KME
KMP,KOMPAP
KOM,KOMPUTRON
KOR,KORBANK
KPC,KUPIEC
KPD,KPPD
KPI,KANCELWEC
KPL,KINOPOL
KRC,KREC
KRI,KREDYTIN
KRK,KRKA
KRU,KRUK
KSG,KSGAGRO
KSW,KRUSZWICA
KTY,KETY
KVT,KRVITAMIN
KZS,KREZUS
LAB,LABOPRINT
LAN,LANGLOO
LBD,LOKATYBUD
LBT,LIBET
LBW,LUBAWA
LEN,LENA
LET,LETUS
LGT,LGTRADE
LKD,LOKUM
LKS,LKDESIGN
LPP,LPP
LPS,LAURENPES
LRK,LARK
LRQ,LARQ
LSH,LSTECHHOM
LSI,LSISOFT
LTG,LIBERTY
LTS,LOTOS
LTX,LENTEX
LUG,LUG
LUK,LUKARDI
LUX,LUXIMA
LVC,LIVECHAT
LWB,BOGDANKA
M4B,M4B
MAB,MABION
MAD,MADKOM
MAK,MAKARONPL
MAX,MAXIMUS
MBF,MBFGROUP
MBK,MBANK
MBR,MOBRUK
MBW,MBWS
MCE,MODERNCOM
MCI,MCI
MCP,MEDIACAP
MCR,MERCOR
MDA,MEDAPP
MDG,MEDICALG
MDI,MDIENERGIA
MDN,MEDIANPOL
MDP,MEDCAMP
MEG,MEGARON
MEI,MERIT
MER,MERA
MEX,MEXPOLSKA
MFD,MFOOD
MFO,MFO
MGA,MEGASONIC
MGC,MEDGALIC
MGS,MGAMES
MGT,MANGATA
MIL,MILLENNIUM
MIR,MIRACULUM
MLB,MAKOLAB
MLG,MLPGROUP
MLGA,MLPGROUP-PDA
MLK,MILKILAND
MLP,MILKPOL
MLS,MLSYSTEM
MLT,MOONLIT
MMA,MALKOWSKI
MMC,MMCPL
MMD,MILESTONE
MNC,MENNICA
MND,MINERAL
MNS,MENNICASK
MNX,MINOX
MOE,MODE
MOJ,MOJ
MOL,MOL
MON,MONNARI
