Symbol,Nazwa
BFC,BIOFACTOR
BFT,BENEFIT
BGD,BIOGENED
BHW,HANDLOWY
BHX,BINARY
BIK,BIK
BIO,BIOTON
BIP,BIOPLANET
BKM,PBKM
BLO,BLOOBER
BLR,BLIRT
BLT,BALTICON
BLU,BLUMERANG
BMC,BUMECH
BML,BIOMEDLUB
BMX,BIOMAXIMA
BNP,BNPPPL
BOS,BOS
BOW,BOWIM
BPC,BPC
BPN,BLACKPOIN
BPX,BPX
BRA,BRASTER
BRG,BERLING
BRH,BERGHOLDI
BRO,CZARNKOW
BRS,BORYSZEW
BRU,BORUTA
BSA,BRAS
BST,BEST
BTC,BLKCHNLAB
BTG,BLUETAX
BTK,BIZTECH
BTX,BETOMAX
BVT,BVT
CAI,CARLSON
CAM,CAMBRIDGE
CAR,INTERCARS
CBD,CANNABIS
CCC,CCC
CCE,CCENERGY
CCS,CCS
CDA,CDA
CDL,CDRL
CDR,CDPROJEKT
CDT,CODEADDIC
CEZ,CEZ
CFG,CFG
CFI,CFI
CFS,CFSA
CHP,CHERRY
CIE,CIECH
CIG,CIGAMES
CLC,COLUMBUS
CLD,CLOUD
CLE,COALENERG
CLN,CLNPHARMA
CMC,COMECO
CMI,CMI
CMP,COMP
CMR,COMARCH
CNG,NOWAGALA
CNT,CNT
COG,COGNOR
COM,COMPRESS
COR,CORELENS
CPA,CAPITAL
CPD,CELTIC
CPG,CPGROUP
CPL,COMPERIA
CPS,CYFRPLSAT
CRB,CARBONSTU
CRC,CARPATHIA
CRJ,CREEPYJAR
CRM,CORMAY
CRP,CEREALPLT
CRS,COPERNIC
CSR,CASPAR
CSY,CSY
CTE,CTE
CTF,CENTURION
CTS,CITYSERV
CWP,CWPE
CZK,CIASTZKRA
CZT,CZTOREBKA
DAM,DENTAMDC
DAT,DATAWALK
DBC,DEBICA
DBE,DBENERGY
DCD,DCD
DCR,DECORA
DDI,DDISTANCE
DEK,DEKPOL
DEL,DELKO
DEV,DEVORAN
DGA,DGA
DIN,DAMFINW
DKR,DEKTRA
DLK,DOMLEK
DNP,DINOPL
