Symbol,Nazwa
PJP,PROJPRZEM
PKN,PKNORLEN
PKO,PKOBP
PKP,PKPCARGO
PLE,PROPERTYF
PLG,PLGROUP
PLI,PLATIGE
PLM,POLMAN
PLW,PLAYWAY
PLX,PLASTBOX
PLY,PLAY
PLZ,PLAZACNTR
PMA,PRIMAMODA
PMF,PREMIUMF
PMP,PAMAPOL
PMT,PRIME
PND,POLNORD
PNT,POINTPACK
PNW,PLANTWEAR
POZ,POZBUD
PPS,PEPEES
PRD,PROCAD
PRF,PRAGMAFA
PRI,PRAGMAINK
PRL,PROLOG
PRM,PROCHEM
PRN,PARTNER
PRO,PROMISE
PRS,PRYMUS
PRT,PROTEKTOR
PSH,POLYSLASH
PSM,PLASMA
PST,PRESTO
PSW,PGSSOFT
PTE,PARCELTEC
PTH,PRIMETECH
PTN,POLTRONIC
PTW,PTWP
PUE,ZPUE
PUN,PUNKPIRAT
PUR,PURE
PURA,PURE-PDA
PWX,POLWAX
PXM,POLIMEXMS
PYL,PYLON
PZU,PZU
QNT,QUANTUM
QON,QUARTICON
QRS,QUERCUS
QRT,QUART
QUB,QUBICGMS
R22,R22
RAF,RAFAMET
RBS,ROBINSON
RBW,RAINBOW
RCA,ROCCA
RCW,RUCHCHORZ
RDG,READGENE
RDL,RADPOL
RDN,REDAN
RDS,REDDEV
REG,REGNON
REM,REMEDIS
RES,RESBUD
REV,REVITUM
RFK,RAFAKO
RHD,REINHOLD
RLP,RELPOL
RMK,REMAK
RNC,REINO
RNK,RANKPROGR
RON,RONSON
ROV,ROVITA
RPC,ROPCZYCE
RSP,REMORSOL
RSY,RSY
RVU,RYVU
RWL,RAWLPLUG
S4E,S4E
SAN,SANTANDER
SBE,SOFTBLUE
SCO,SCOPAK
SCP,SCPFL
SCS,STEMCELLS
SEK,SEKO
SEL,SELENAFM
SEN,SERINUS
SES,SESCOM
SEV,SEVENET
SFD,SFD
SFG,SILVANO
SFK,SFKPOLKAP
SFN,SFERANET
SFS,SFINKS
SGN,SYGNITY
SGR,SADOVAYA
SHD,SOHODEV
SHG,STARHEDGE
SIM,SIMFABRIC
SKA,SNIEZKA
