Symbol,Nazwa
SKH,SKARBIEC
SKL,SKYLINE
SKN,SAKANA
SKT,SKOTAN
SLV,SELVITA
SLZ,SLEEPZAG
SME,SIMPLE
SMS,SMSKREDYT
SNG,SYNERGA
SNK,SANOK
SNT,SYNEKTIK
SNW,SANWIL
SNX,SUNEX
SOK,SONKA
SOL,SOLAR
SON,SONEL
SP1,SPAC1
SPH,SOPHARMA
SPK,SPARKVC
SPL,SANPL
SPR,SPYROSOFT
SSK,SURFLAND
STA,STARWARD
STD,STANDREW
STF,STALPROFI
STK,STOPKLA
STP,STALPROD
STX,STALEXP
SUL,SUMMALING
SUN,SUNTECH
SUW,SUWARY
SVRS,SILVAIR-REGS
SWD,SWISSMED
SWG,SECOGROUP
SWK,SHOCKWORK
SWT,SWALLET
SYM,SYMBIO
SZR,SZAR
T2P,TERMO2PWR
TAR,TARCZYNSKI
TBL,TBULL
TEN,TSGAMES
THD,THEDUST
TIG,TECHINVGR
TIM,TIM
TLG,TELGAM
TLO,TELESTO
TLS,TELESTR
TLT,TLTENNIS
TLV,TELIANI
TLX,TALEX
TME,TERMOEXP
TMP,TELEMEDPL
TMR,TATRY
TNX,TALANX
TOA,TOYA
TOR,TORPOL
TOS,TAMEX
TOW,TOWERINVT
TPE,TAURONPE
TRI,TRITON
TRK,TRAKCJA
TRN,TRANSPOL
TRR,TERMOREX
TSG,TESGAS
TXF,TAXUSFUND
TXM,TXM
TXN,TAXNET
TYP,ARTP
U2K,UNIMA
UCG,UNICREDIT
UFC,UNIFIED
ULG,ULTGAMES
ULM,ULMA
UNI,UNIBEP
UNT,UNIMOT
URS,URSUS
UTD,UNITED
VAB,VABUN
VAR,VARSAV
VCP,VCP
VDS,VIDIS
VEE,VEE
VEL,VELTO
VER,MPLVERBUM
VGO,VIGOSYS
VIA,VIATRON
VIN,VINDEXUS
VIV,VISION
VKT,VAKOMTEK
VOT,VOTUM
VOX,VOXEL
VRB,VERBICOM
VRG,VRG
VTI,VENTUREIN
VTL,VISTAL
VVD,VIVID
WAS,WASKO
WBY,WBAY
WHH,WERTHHOLZ
